event_time_utc,source,ags,municipality_name,event_type,details_json
2026-03-08T17:50:18.339827+00:00,kommone,08426001,Achstetten,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339689+00:00,kommone,08425108,"Schelklingen, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339663+00:00,kommone,08425098,Rechtenstein,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339622+00:00,kommone,08425091,Oberstadion,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339603+00:00,kommone,08425090,Obermarchtal,RESULT_UPDATED,"{""current_hash"": ""a66106461020cf07457e02b8b0870c2f3b8d76815822b3ad04473ba5685049e1"", ""previous_hash"": ""c236b8a2de4dec95ba181219ef41a5726c5076f75b2a1ba182a957dbe66a8861""}"
2026-03-08T17:50:18.339576+00:00,kommone,08425085,Nerenstetten,RESULT_UPDATED,"{""current_hash"": ""eea1d874c9f5c3d95be718571a7f72baefe32b09615850384974aec9a1bab30d"", ""previous_hash"": ""a26cf97a3f19f47bdc2129a35aeeb1adf3f205011af196c1cc46f8ad8ded3050""}"
2026-03-08T17:50:18.339525+00:00,kommone,08425075,Lonsee,RESULT_UPDATED,"{""current_hash"": ""3722ff432fa5ceccb78670206284cf77aeb60551c8d25156369cfb7c564e5cea"", ""previous_hash"": ""c57ac2a0f736fc1f9a3762c40b87807186d032add0caf69549cc2d3bf4233f8b""}"
2026-03-08T17:50:18.339458+00:00,kommone,08425055,Hausen am Bussen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339438+00:00,kommone,08425052,Grundsheim,RESULT_UPDATED,"{""current_hash"": ""c854b9622f5ca784012acb70acf54476d54ede951d7b45ab70bad2a1305fe07d"", ""previous_hash"": ""a1b2d6eb6cf5abb25de009840c8279cdf584965a6fda730e178ad303aaeb335e""}"
2026-03-08T17:50:18.339386+00:00,kommone,08425035,Emeringen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339364+00:00,kommone,08425033,"Ehingen (Donau), Stadt",RESULT_UPDATED,"{""current_hash"": ""228bc637bd92e821418c95f749f19c9c93820d06bff16b0f986a0af6a1d2cb40"", ""previous_hash"": ""d095158bd8cd6a4255a3859745ba9a748eda1080fe4639d564f8f655a50e4ae3""}"
2026-03-08T17:50:18.339297+00:00,kommone,08425020,"Blaubeuren, Stadt",RESULT_UPDATED,"{""current_hash"": ""91ac7b34a31016a2f5c1f15d82be67512fc8ae0883b0139263f48de4ee491071"", ""previous_hash"": ""aca1d4c96017ba5649ffa3e306fa647fb26ad30dd992a443662d395f23346b3b""}"
2026-03-08T17:50:18.339253+00:00,kommone,08425013,Ballendorf,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339174+00:00,kommone,08417079,"Albstadt, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339065+00:00,kommone,08417044,"Meßstetten, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.338945+00:00,kommone,08417002,"Balingen, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.338924+00:00,kommone,08416050,Starzach,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.338534+00:00,kommone,08337125,Küssaberg,RESULT_UPDATED,"{""current_hash"": ""7f417d5f6043dc154f62f2707a6ae02df43bc8e990808b8201627fc4d4f9db8f"", ""previous_hash"": ""0a4295cd875ac44e2c8c618c889ee5bb9711eb73ca0df79bb26ef41b8be11d81""}"
2026-03-08T17:50:18.338487+00:00,kommone,08337116,"Wehr, Stadt",RESULT_UPDATED,"{""current_hash"": ""8684acda4ff4e094a50b384c460bf8db659e04e2cfeeaec75f0a82c0b4d1841c"", ""previous_hash"": ""8e8d95d1ffbd0b9f0a39f8176755b35bc5834e3268e0b59649255e0a95b8fe36""}"
2026-03-08T17:50:18.338459+00:00,kommone,08337106,"Stühlingen, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.338422+00:00,kommone,08337096,"Bad Säckingen, Stadt",RESULT_UPDATED,"{""current_hash"": ""ca8cd4ab1770e0577998bcebf644e07902c3685d40384555e009a7e09f956eb8"", ""previous_hash"": ""20e0bb40eea417cf4ee71fa2203633647ce39ae906e3ff5b3d7e9596f6bd3b76""}"
2026-03-08T17:50:18.338378+00:00,kommone,08337066,"Laufenburg (Baden), Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.338345+00:00,kommone,08337062,Klettgau,RESULT_UPDATED,"{""current_hash"": ""06fbf0d5aa1ed84686ecf89642ad673ada109736843edec121a74937ee2226c8"", ""previous_hash"": ""41c62e2053d2b9351d844c55e4388796064569d75d351c2f8ec4ad2964e4b6ef""}"
2026-03-08T17:50:18.338191+00:00,kommone,08337002,Albbruck,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.338163+00:00,kommone,08336107,Kleines Wiesental,RESULT_UPDATED,"{""current_hash"": ""a272bfb9cb2de850b2c191e0d4ad9432d3e4c964e02f0f87bf4e472db5b8af05"", ""previous_hash"": ""3085e83ef5605bba93d90cd08c49b3348ece18b31b57071216eef2ddf3ca1c06""}"
2026-03-08T17:50:18.338136+00:00,kommone,08336105,Grenzach-Wyhlen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.338108+00:00,kommone,08336103,"Zell im Wiesental, Stadt",RESULT_UPDATED,"{""current_hash"": ""9608d03c3c4053196fdf77174204f383f42b78a45fa7dd952f7d741d9721360c"", ""previous_hash"": ""9a006cae2c4c87a31362f7773d8ec90c20e5325eb69bd9fc67251485ea454f65""}"
2026-03-08T17:50:18.338063+00:00,kommone,08336091,"Weil am Rhein, Stadt",RESULT_UPDATED,"{""current_hash"": ""addf0678acf235fba12194565fb711a49bce2006ec772a8abb83794111508426"", ""previous_hash"": ""d7cdac17d85150a77a8e06dd94bbcfdb7eba21eb2b19a06b359e4272ac1d1a41""}"
2026-03-08T17:50:18.338012+00:00,kommone,08336087,"Todtnau, Stadt",RESULT_UPDATED,"{""current_hash"": ""2fbc7e6395d1820808d6ce303ecc1bbd705a38101780a3a33fe6057fd7259f12"", ""previous_hash"": ""0588ab95c469d4dfbb078283c2734e9ad26b6cc105423936fda6d8f980f91a7a""}"
2026-03-08T17:50:18.337993+00:00,kommone,08336084,Steinen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.337957+00:00,kommone,08336080,Schönenberg,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.337902+00:00,kommone,08336069,"Rheinfelden (Baden), Stadt",RESULT_UPDATED,"{""current_hash"": ""2237258330b7f9e518cc10e41f40b6cad638259805fc957db0616554d5b8f274"", ""previous_hash"": ""00a1cc4b173f9b41fd727afc48039d666c0c00a8da2023ef1caddbbe9a7f73c4""}"
2026-03-08T17:50:18.337805+00:00,kommone,08336014,Efringen-Kirchen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.337483+00:00,kommone,08327050,"Tuttlingen, Stadt",RESULT_UPDATED,"{""current_hash"": ""11266e9391cc532c5e3fc16cf4f082c684992b2d724dc29f83fe865b29cea6fe"", ""previous_hash"": ""c7651a6f6673b4433455ba5ef66da103007c9946e8013723be146d3669ee26c7""}"
2026-03-08T17:50:18.337464+00:00,kommone,08327049,"Trossingen, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.337436+00:00,kommone,08327046,"Spaichingen, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
