ags,public_precincts,public_valid_zweit,public_cdu_zweit,official_precincts,official_valid_zweit,official_cdu_zweit,valid_diff,cdu_diff,precinct_diff
23503148,1.0,779.0,243.0,1.0,779.0,243.0,0.0,0.0,0.0
23504010,1.0,169.0,61.0,1.0,169.0,61.0,0.0,0.0,0.0
23504021,1.0,388.0,112.0,1.0,388.0,112.0,0.0,0.0,0.0
23504037,1.0,1105.0,394.0,1.0,1105.0,394.0,0.0,0.0,0.0
23504038,1.0,458.0,183.0,1.0,458.0,183.0,0.0,0.0,0.0
23504044,1.0,143.0,48.0,1.0,143.0,48.0,0.0,0.0,0.0
23504046,1.0,78.0,37.0,1.0,78.0,37.0,0.0,0.0,0.0
23504050,1.0,244.0,84.0,1.0,244.0,84.0,0.0,0.0,0.0
23504056,1.0,747.0,293.0,1.0,747.0,293.0,0.0,0.0,0.0
23504070,1.0,426.0,166.0,1.0,426.0,166.0,0.0,0.0,0.0
23504080,1.0,299.0,101.0,1.0,299.0,101.0,0.0,0.0,0.0
23504085,1.0,1004.0,354.0,1.0,1004.0,354.0,0.0,0.0,0.0
23504090,1.0,528.0,208.0,1.0,528.0,208.0,0.0,0.0,0.0
23504100,1.0,104.0,40.0,1.0,104.0,40.0,0.0,0.0,0.0
23504107,1.0,945.0,295.0,1.0,945.0,295.0,0.0,0.0,0.0
23504116,1.0,221.0,65.0,1.0,221.0,65.0,0.0,0.0,0.0
23504124,1.0,427.0,144.0,1.0,427.0,144.0,0.0,0.0,0.0
23504129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23504135,1.0,631.0,213.0,1.0,631.0,213.0,0.0,0.0,0.0
23504141,1.0,1116.0,467.0,1.0,1116.0,467.0,0.0,0.0,0.0
23506004,1.0,588.0,200.0,1.0,588.0,200.0,0.0,0.0,0.0
23506015,1.0,408.0,184.0,1.0,408.0,184.0,0.0,0.0,0.0
23506019,1.0,270.0,96.0,1.0,270.0,96.0,0.0,0.0,0.0
23506022,3.0,1487.0,481.0,3.0,1487.0,481.0,0.0,0.0,0.0
23506026,2.0,1736.0,561.0,2.0,1736.0,561.0,0.0,0.0,0.0
23506060,2.0,1481.0,532.0,2.0,1481.0,532.0,0.0,0.0,0.0
23506063,1.0,609.0,258.0,1.0,609.0,258.0,0.0,0.0,0.0
23506067,1.0,217.0,104.0,1.0,217.0,104.0,0.0,0.0,0.0
23506074,1.0,905.0,441.0,1.0,905.0,441.0,0.0,0.0,0.0
23506077,1.0,52.0,12.0,1.0,52.0,12.0,0.0,0.0,0.0
23506078,1.0,816.0,354.0,1.0,816.0,354.0,0.0,0.0,0.0
23506083,2.0,1372.0,618.0,2.0,1372.0,618.0,0.0,0.0,0.0
23506091,1.0,191.0,60.0,1.0,191.0,60.0,0.0,0.0,0.0
23506108,1.0,227.0,102.0,1.0,227.0,102.0,0.0,0.0,0.0
23506115,1.0,812.0,356.0,1.0,812.0,356.0,0.0,0.0,0.0
23506120,1.0,144.0,80.0,1.0,144.0,80.0,0.0,0.0,0.0
23506125,4.0,4467.0,1762.0,4.0,4467.0,1762.0,0.0,0.0,0.0
23506134,1.0,131.0,64.0,1.0,131.0,64.0,0.0,0.0,0.0
23506207,1.0,663.0,332.0,1.0,663.0,332.0,0.0,0.0,0.0
23507001,1.0,505.0,176.0,1.0,505.0,176.0,0.0,0.0,0.0
23507027,1.0,203.0,60.0,1.0,203.0,60.0,0.0,0.0,0.0
23507048,1.0,188.0,58.0,1.0,188.0,58.0,0.0,0.0,0.0
23507069,2.0,1051.0,284.0,2.0,1051.0,284.0,0.0,0.0,0.0
23507073,4.0,759.0,303.0,4.0,759.0,303.0,0.0,0.0,0.0
23507111,6.0,1086.0,387.0,6.0,1086.0,387.0,0.0,0.0,0.0
23507137,4.0,2055.0,715.0,4.0,2055.0,715.0,0.0,0.0,0.0
23507151,4.0,1620.0,520.0,4.0,1620.0,520.0,0.0,0.0,0.0
23507501,5.0,1458.0,504.0,5.0,1458.0,504.0,0.0,0.0,0.0
23508002,1.0,871.0,371.0,1.0,871.0,371.0,0.0,0.0,0.0
23508003,1.0,169.0,54.0,1.0,169.0,54.0,0.0,0.0,0.0
23508025,1.0,189.0,66.0,1.0,189.0,66.0,0.0,0.0,0.0
23508028,1.0,737.0,214.0,1.0,737.0,214.0,0.0,0.0,0.0
23508033,1.0,563.0,186.0,1.0,563.0,186.0,0.0,0.0,0.0
23508040,1.0,166.0,42.0,1.0,166.0,42.0,0.0,0.0,0.0
23508043,1.0,252.0,100.0,1.0,252.0,100.0,0.0,0.0,0.0
23508052,1.0,916.0,380.0,1.0,916.0,380.0,0.0,0.0,0.0
23508057,1.0,233.0,65.0,1.0,233.0,65.0,0.0,0.0,0.0
23508058,1.0,1157.0,396.0,1.0,1157.0,396.0,0.0,0.0,0.0
23508062,3.0,391.0,168.0,3.0,391.0,168.0,0.0,0.0,0.0
23508072,1.0,337.0,135.0,1.0,337.0,135.0,0.0,0.0,0.0
23508081,1.0,506.0,160.0,1.0,506.0,160.0,0.0,0.0,0.0
23508082,1.0,166.0,55.0,1.0,166.0,55.0,0.0,0.0,0.0
23508098,1.0,368.0,153.0,1.0,368.0,153.0,0.0,0.0,0.0
23508104,6.0,633.0,277.0,6.0,633.0,277.0,0.0,0.0,0.0
23508105,1.0,143.0,47.0,1.0,143.0,47.0,0.0,0.0,0.0
