capture,time,commit,party,votes,share
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,DKP,489,0.11993966225579769
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,ÖDP,542,0.13293925755141586
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Die Heimat,166,0.04071571356740781
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,bergpartei,12,0.0029433045952342992
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,SGP,141,0.034583828994003016
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Menschliche Welt,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,AB Spandau,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Ausländer für Berlin,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Migrants for Neukölln,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Berliner:innen ohne Grenzen,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Berlin Retten,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,BSW,21047,5.162310984658025
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Losdemokratie,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,MERA25,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,PdF,1232,0.30217927177738807
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Jan Mihm: Bester Mann,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Demokratische Linke,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,DIE FRAUEN,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,CDU,77133,17.395295131175676
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,SPD,49965,11.26827585118163
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,GRÜNE,58329,13.154553429872376
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Die Linke,116335,26.236262806909135
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,AfD,84791,19.122353201191665
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,FDP,10068,2.2705694239907266
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Tierschutzpartei,8969,2.022719225642911
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Die PARTEI,3349,0.7552778109798315
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Volt,8456,1.9070257299628113
